Title,Author,Downloads
Susan B. Anthony,Alma Lutz,3952
The Tragedy of Pudd'nhead Wilson,Mark Twain,3947
The Golden Bough: A Study of Magic and Religion,James George Frazer,3938
The Open Boat and Other Stories,Stephen Crane,3937
Romeo and Juliet,William Shakespeare,3935
Also sprach Zarathustra: Ein Buch für Alle und Keinen (German),Friedrich Wilhelm Nietzsche,3930
An Account of Egypt,Herodotus,3924
The Complete Project Gutenberg Works of Jane Austen,Jane Austen,3920
"Lyrical Ballads, With a Few Other Poems (1798)",Samuel Taylor Coleridge and William Wordsworth,3915
"Plutarch's Lives, Volume 1 (of 4)",Plutarch,3913
"Dictionary of Quotations from Ancient and Modern, English and Foreign Sources",Rev. James Wood,3909
The Angel in the House,Coventry Patmore,3896
The Wonderful Wizard of Oz,L. Frank Baum,3893
Pride and Prejudice,Jane Austen,3887
This Side of Paradise,F. Scott Fitzgerald,3883
Essays of Schopenhauer,Arthur Schopenhauer,3881
A Child's History of England,Charles Dickens,3877
The Age of Innocence,Edith Wharton,3870
The Argonautica,Rhodius Apollonius,3865
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",Unknown,3865
The Duchess of Malfi,John Webster,3864
"Die Deutschen Familiennamen, geschichtlich, geographisch, sprachlich (German)",Albert Heintze,3858
A Polyglot of Foreign Proverbs,Unknown,3839
Following the Equator: A Journey Around the World,Mark Twain,3828
Ancient Pagan and Modern Christian Symbolism,Thomas Inman and M.R.C.S.E. John Newton,3819
The Sketch-Book of Geoffrey Crayon,Washington Irving,3806
The Origin of Species by Means of Natural Selection,Charles Darwin,3789
The reader's guide to the Encyclopaedia Britannica :  A handbook containing sixty-six courses of systematic study or occasional reading,Inc. Encyclopaedia Britannica,3789
Martin Eden,Jack London,3787
Laws,Plato,3786
Best Russian Short Stories,Unknown,3786
Master and Man,graf Leo Tolstoy,3783
Peter and Wendy,J. M. Barrie,3781
The Subjection of Women,John Stuart Mill,3775
Emma,Jane Austen,3773
子不語 (Chinese),Mei Yuan,3766
A Course of Pure Mathematics,G. H. Hardy,3765
Autobiography of a Yogi,Paramahansa Yogananda,3762
Plutarch's Morals,Plutarch,3762
The Art of War,active 6th century B.C. Sunzi,3755
Gargantua and Pantagruel,François Rabelais,3755
Noli me tángere (Spanish),José Rizal,3755
The History of Orange County New York,Unknown,3753
The Wind in the Willows,Kenneth Grahame,3753
The Mysterious Island,Jules Verne,3750
The Satyricon of Petronius Arbiter,Petronius Arbiter,3748
Les Fleurs du Mal (French),Charles Baudelaire,3744
Theaetetus,Plato,3742
The Alchemist,Ben Jonson,3741
Anne of Avonlea,L. M. Montgomery,3733
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",Giacomo Casanova,3731
The Every Day Book of History and Chronology,Joel Munsell,3727
Auguste Comte and Positivism,John Stuart Mill,3723
The Latin & Irish Lives of Ciaran,Unknown,3718
The Mysteries of Udolpho,Ann Ward Radcliffe,3710
The Beautiful and Damned,F. Scott Fitzgerald,3703
"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",Edmund Burke,3691
Twas the Night before Christmas: A Visit from St. Nicholas,Clement Clarke Moore,3684
Arms and the Man,Bernard Shaw,3680
"Opticks :  or, A treatise of the reflections, refractions, inflections and colours of light",Isaac Newton,3679
Troilus and Criseyde,Geoffrey Chaucer,3676
"Modern English biography, volume 1 (of 4), A-H",Frederic Boase,3675
Sense and Sensibility,Jane Austen,3671
The Letters of Wolfgang Amadeus Mozart — Volume 01,Wolfgang Amadeus Mozart,3670
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,3659
The Lost World,Arthur Conan Doyle,3659
Little Women,Louisa May Alcott,3659
The Nibelungenlied,Unknown,3659
"The possessed :  or, The devils",Fyodor Dostoyevsky,3657
"Moby-Dick; or, The Whale",Herman Melville,3653
Poems,Rainer Maria Rilke,3648
Märchen der Gebrüder Grimm 2 (German),Jacob Grimm and Wilhelm Grimm,3641
"The best short stories of 1920, and the yearbook of the American short story",Unknown,3636
Chess Fundamentals,José Raúl Capablanca,3635
"The General Historie of Virginia, New England & the Summer Isles  (Vol. I)",John Smith,3634
"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume X, Missouri Narratives",United States. Work Projects Administration,3631
Shakespeare's family,C. C. Stopes,3629
Life in Mexico,Madame Calderón de la Barca,3623
The Story of My Life,Helen Keller,3621
A Concise Dictionary of Middle English from A.D. 1150 to 1580,Walter W. Skeat and A. L. Mayhew,3621
Fundamental Principles of the Metaphysic of Morals,Immanuel Kant,3610
A Shropshire Lad,A. E. Housman,3607
All About Coffee,William H. Ukers,3600
Pictures from Italy,Charles Dickens,3600
A Concise Anglo-Saxon Dictionary,J. R. Clark Hall,3598
"The slang dictionary :  Etymological, historical and anecdotal",John Camden Hotten,3586
Language of Flowers,Kate Greenaway,3583
Etiquette,Emily Post,3582
An Enemy of the People,Henrik Ibsen,3577
Jane Eyre,Charlotte Brontë,3575
The House of Mirth,Edith Wharton,3568
The Man Who Would Be King,Rudyard Kipling,3546
Give Me Liberty: The Struggle for Self-Government in Virginia,Thomas Jefferson Wertenbaker,3540
The World as Will and Idea (Vol. 1 of 3),Arthur Schopenhauer,3535
Australian insects,Walter W. Froggatt,3534
The Wendigo,Algernon Blackwood,3531
The Life of Lazarillo de Tormes,Anonymous,3525
Mr. Honey's Large Business Dictionary (English-German) (German),Winfried Honig,3516
The French Revolution: A History,Thomas Carlyle,3509
"The symbolism of Freemasonry :  Illustrating and explaining its science and philosophy, its legends, myths and symbols",Albert Gallatin Mackey,3505
The Sun Also Rises,Ernest Hemingway,3503
Kalevala : the Epic Poem of Finland — Complete,Unknown,3502
Meno,Plato,3500
The American Occupation of the Philippines 1898-1912,James H. Blount,3496
The Nursery Rhymes of England,Unknown,3494
The Monk: A Romance,M. G. Lewis,3493
The innocence of Father Brown,G. K. Chesterton,3489
What Is Art?,graf Leo Tolstoy,3488
The Murder on the Links,Agatha Christie,3487
The Return of the Native,Thomas Hardy,3482
Considerations on Representative Government,John Stuart Mill,3482
Letters of Two Brides,Honoré de Balzac,3475
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan (Tagalog)",José Rizal,3473
The Common Law,Oliver Wendell Holmes,3470
"Thuvia, Maid of Mars",Edgar Rice Burroughs,3469
A Journal of the Plague Year,Daniel Defoe,3466
Marmion: A Tale Of Flodden Field,Walter Scott,3460
The Practice and Science of Drawing,Harold Speed,3458
The Wonders of the Invisible World,Cotton Mather and Increase Mather,3458
Emile,Jean-Jacques Rousseau,3453
The Instruction of Ptah-Hotep and the Instruction of Ke'Gemni,Ptahhotep and Kagemna,3451
The call of Cthulhu,H. P. Lovecraft,3447
A Vindication of the Rights of Woman,Mary Wollstonecraft,3446
Psychology of the Unconscious,C. G. Jung,3446
My Bondage and My Freedom,Frederick Douglass,3445
A Connecticut Yankee in King Arthur's Court,Mark Twain,3441
The Stag Cook Book: Written for Men by Men,Unknown,3441
Adventures of Sherlock Holmes,Arthur Conan Doyle,3434
"De Re Metallica, Translated from the First Latin Edition of 1556",Georg Agricola,3434
The Haunted Man and the Ghost's Bargain,Charles Dickens,3433
The magic casket,R. Austin Freeman,3421
Spanish Tales for Beginners (Spanish),Unknown,3419
The Prince,Niccolò Machiavelli,3418
The Notebooks of Leonardo Da Vinci — Complete,da Vinci Leonardo,3414
The Essays of Arthur Schopenhauer: the Wisdom of Life,Arthur Schopenhauer,3411
"Memoirs of the Court of Marie Antoinette, Queen of France, Complete",Mme. Campan,3408
The Apostolic Tradition of Hippolytus,Antipope Hippolytus,3406
"Hesiod, the Homeric Hymns, and Homerica",Hesiod,3404
1001 задача для умственного счета (Russian),Sergei Aleksandrovich Rachinskii,3402
The Martian: A Novel,George Du Maurier,3398
Far from the Madding Crowd,Thomas Hardy,3397
On the Sublime,active 1st century Longinus,3395
Psychopathia sexualis: With especial reference to contrary sexual instinct,R. von Krafft-Ebing,3395
Totem and taboo :  Resemblances between the psychic lives of savages and neurotics,Sigmund Freud,3383
"The Philippine Islands, 1493-1898 - Volume 40 of 55, 1690-1691",Unknown,3379
"Pride and Prejudice, a play founded on Jane Austen's novel",Jane Austen and Mrs. Steele MacKaye,3377
Shakespeare's Sonnets,William Shakespeare,3374
The Works of Mark Twain: An Index of all Project Gutenberg Editions,Mark Twain,3360
Principles of Political Economy,John Stuart Mill,3357
Barchester Towers,Anthony Trollope,3357
The Lives and Opinions of Eminent Philosophers,Diogenes Laertius,3355
The Complete Poetical Works of Edgar Allan Poe,Edgar Allan Poe,3354
The Life of Reason: The Phases of Human Progress,George Santayana,3350
Timaeus,Plato,3341
The Pilgrim's Progress by John Bunyan Every Child Can Read,John Bunyan,3339
All quiet on the Western Front,Erich Maria Remarque,3332
The Expression of the Emotions in Man and Animals,Charles Darwin,3332
Spoon River Anthology,Edgar Lee Masters,3332
Devotions Upon Emergent Occasions; Together with Death's Duel,John Donne,3307
An Essay on Man; Moral Essays and Satires,Alexander Pope,3305
While the Billy Boils,Henry Lawson,3302
Memoirs of Louis XIV and His Court and of the Regency — Complete,duc de Louis de Rouvroy Saint-Simon,3302
The Legends of King Arthur and His Knights,Sir Thomas Malory and Sir James Knowles,3296
The House of the Wolfings,William Morris,3285
Memoirs of Napoleon Bonaparte — Complete,Louis Antoine Fauvelet de Bourrienne,3280
Dracula's Guest,Bram Stoker,3276
"The Histories of Polybius, Vol. 1 (of 2)",Polybius,3271
A General Introduction to Psychoanalysis,Sigmund Freud,3270
"Las Fábulas de Esopo, Vol. 01 (Spanish)",Aesop and George Fyler Townsend,3268
Folk-Tales of Bengal,Lal Behari Day,3267
A collection of Latin maxims and phrases literally translated,John N. Cotterell,3261
Pride and Prejudice,Jane Austen,3260
The Green Mummy,Fergus Hume,3257
"The Spectator, Volume 1",Sir Richard Steele and Joseph Addison,3257
"The Bible, King James Version, Complete Contents",Anonymous,3256
A History of Witchcraft in England from 1558 to 1718,Wallace Notestein,3249
"Curiosities of Literature,  Vol. 2",Isaac Disraeli,3243
Letters of Pliny,the Younger Pliny,3240
Heath's Modern Language Series: The Spanish American Reader (Spanish),Ernesto Nelson,3238
The Outline of History: Being a Plain History of Life and Mankind,H. G. Wells,3234
醒世恆言 (Chinese),Menglong Feng,3233
Fox's Book of Martyrs,John Foxe,3232
The Anglo-Saxon Chronicle,Unknown,3231
"The Country of the Blind, and Other Stories",H. G. Wells,3229
The Eyes Have It,Philip K. Dick,3225
"My Life and Loves, Vol. 1 (of 4)",Frank Harris,3224
Daisy Miller: A Study,Henry James,3223
The Fairy Tales of Charles Perrault,Charles Perrault,3222
A Journal of the First Voyage of  Vasco da Gama 1497-1499,Unknown,3218
"Wine, Women, and Song",Unknown,3216
The Survey of London,John Stow,3216
Philosophiae Naturalis Principia Mathematica (Latin),Isaac Newton,3206
The Art of Public Speaking,Dale Carnegie and J. Berg Esenwein,3197
二十年目睹之怪現狀 (Chinese),Jianren Wu,3196
"The Essays or Counsels, Civil and Moral",Francis Bacon,3195
Twice-told tales,Nathaniel Hawthorne,3193
De Officiis (Latin),Marcus Tullius Cicero,3193
An Enquiry Concerning the Principles of Morals,David Hume,3193
Salomé: A Tragedy in One Act,Oscar Wilde,3192
"The Forsyte Saga, Volume I.",John Galsworthy,3190
漢書 (Chinese),Gu Ban,3185
"The Geography of Strabo, Volume 3 (of 3)",Strabo,3182
The Odyssey,Homer,3176
The Oldest Code of Laws in the World,King of Babylonia Hammurabi,3175
Boswell's Life of Johnson,James Boswell,3172
羹 (Japanese),Jun'ichiro Tanizaki,3171
Cyropaedia: The Education of Cyrus,Xenophon,3171
"What Men Live By, and Other Tales",graf Leo Tolstoy,3163
Silas Marner,George Eliot,3161
How to sing [Meine Gesangskunst],Lilli Lehmann,3156
"Encyclopaedia Britannica, 11th Edition, ""Lord Chamberlain"" to ""Luqman""",Various,3154
中國十大禁書之國色天香 (Chinese),active 16th century Jingsuo Wu,3147
Mother Goose's Nursery Rhymes,Unknown,3146
The Gay Cockade,Temple Bailey,3143
Lord Jim,Joseph Conrad,3135
Gulliver's Travels,Jonathan Swift,3134
"Scientific American, Vol. XXXVII.—No. 2. [New Series.], July 14, 1877",Various,3131
Poirot Investigates,Agatha Christie,3129
The Rubaiyat of Omar Khayyam,Omar Khayyam,3127
The Kybalion,Three Initiates,3125
The Arabian Nights Entertainments,Andrew Lang,3118
The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,3115
"A general history of the pyrates :  from their first rise and settlement in the island of Providence, to the present time",active 1724-1731 Charles Johnson,3111
What's Wrong with the World,G. K. Chesterton,3103
The Gentlemen's Book of Etiquette and Manual of Politeness,Cecil B. Hartley,3103
Selections from Viri Romae (Latin),C. F. L'Homond,3102
The Burgess Bird Book for Children,Thornton W. Burgess,3102
"The Lusiad; Or, The Discovery of India, an Epic Poem",Luís de Camões,3093
九尾狐 (Chinese),Pinghuazhuren,3092
"Heimskringla; Or, The Chronicle of the Kings of Norway",Snorri Sturluson,3092
"De Nederlandsche Geslachtsnamen in Oorsprong, Geschiedenis en Beteekenis (Dutch)",Johan Winkler,3079
"The History of Mary Prince, a West Indian Slave",Mary Prince,3077
The Great God Pan,Arthur Machen,3075
The First Six Books of the Elements of Euclid,John Casey and Euclid,3064
The Return of the Native,Thomas Hardy,3064
Lady Audley's Secret,M. E. Braddon,3062
Twenty Thousand Leagues Under the Sea,Jules Verne,3055
The House of the Seven Gables,Nathaniel Hawthorne,3053
How it Works,Archibald Williams,3048
"The Mysterious Stranger, and Other Stories",Mark Twain,3046
Geographical etymology: a dictionary of place-names giving their derivations,Christina Blackie,3040
The Imitation of Christ,à Kempis Thomas,3037
Japanese Fairy Tales,Yei Theodora Ozaki,3037
The Mill on the Floss,George Eliot,3022
"The Story of Little Black Sambo, and The Story of Little Black Mingo",Helen Bannerman,3019
徐霞客遊記 (Chinese),Hongzu Xu,3019
"History, Gazetteer, and Directory of Shropshire [1851]",Samuel Bagshaw,3018
Historic Paris,Jetta Sophia Wolff,3012
The New Gresham Encyclopedia. A to Amide,Various,3012
"Old and New Paris: Its History, Its People, and Its Places, v. 2",H. Sutherland Edwards,3007
甌北詩話 (Chinese),Yi Zhao,3005
Psychological Warfare,Paul Myron Anthony Linebarger,3000
Mabini's Decalogue for Filipinos,Apolinario Mabini,2990
Index of the Project Gutenberg Works of Fyodor Dostoevsky,Fyodor Dostoyevsky,2989
"News from Nowhere; Or, An Epoch of Rest",William Morris,2989
The Red Room,H. G. Wells,2989
The Varieties of Religious Experience: A Study in Human Nature,William James,2986
The Early Poems of Alfred Lord Tennyson,Baron Alfred Tennyson Tennyson,2977
Now we are six,A. A. Milne,2974
The Piazza Tales,Herman Melville,2972
Complete Prose Works,Walt Whitman,2970
紅樓夢 (Chinese),Xueqin Cao,2970
Kant's Critique of Judgement,Immanuel Kant,2968
Trois femmes (French),Pierre Mille,2967
Heidi,Johanna Spyri,2961
"The Philippine Islands, 1493-1803 — Volume 05 of 55",Unknown,2957
The Spy,James Fenimore Cooper,2954
Good-bye to all that :  An autobiography,Robert Graves,2948
The Yeoman Adventurer,George W. Gough,2937
La Divina Comedia (Spanish),Dante Alighieri,2937
"Volpone; Or, The Fox",Ben Jonson,2936
"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",Charles Dickens,2936
Confessions of an English Opium-Eater,Thomas De Quincey,2935
Manon Lescaut,abbé Prévost,2934
Filipino Popular Tales,Unknown,2933
Amusements in Mathematics,Henry Ernest Dudeney,2931
殉情詩集 (Japanese),Haruo Sato,2928
"Bushido, the Soul of Japan",Inazo Nitobe,2923
Life and Letters of Charles Darwin — Volume 1,Charles Darwin,2919
"The Ivory Gate, a new edition",Walter Besant,2918
"The Journals of Lewis and Clark, 1804-1806",Meriwether Lewis and William Clark,2917
A short history of the printing press and of the improvements in printing machinery from the time of Gutenberg up to the present day,Robert Hoe,2913
Areopagitica,John Milton,2912
Mansfield Park,Jane Austen,2906
The School for Scandal,Richard Brinsley Sheridan,2904
The tale of Genji,Murasaki Shikibu,2899
A Journey to the Center of the Earth,Jules Verne,2896
Myths and Legends of China,E. T. C. Werner,2893
Grimm's Fairy Tales,Jacob Grimm and Wilhelm Grimm,2889
Red Nails,Robert E. Howard,2887
The Critique of Practical Reason,Immanuel Kant,2887
Self Help; with Illustrations of Conduct and Perseverance,Samuel Smiles,2884
Malay Magic,Walter William Skeat,2882
Dialogues Concerning Natural Religion,David Hume,2880
Modern Spanish Lyrics (Spanish),Unknown,2879
The Moonstone,Wilkie Collins,2875
The Iliad,Homer,2874
The Poetical Works of William Wordsworth — Volume 3 (of 8),William Wordsworth,2872
Russian Fairy Tales: A Choice Collection of Muscovite Folk-lore,Unknown,2871
La Divina Commedia di Dante (Italian),Dante Alighieri,2865
Daddy-Long-Legs,Jean Webster,2863
The History of the British Post Office,Joseph Clarence Hemmeon,2863
Dracula,Bram Stoker,2862
"South: The Story of Shackleton's Last Expedition, 1914-1917",Sir Ernest Henry Shackleton,2862
English Fairy Tales,Joseph Jacobs,2860
"The International Jew, the world's foremost problem [volume I] :  being a reprint of a series of articles appearing in the Dearborn Independent from May 22 to October 2, 1920",Henry Ford and William John Cameron,2860
The Mystery of Edwin Drood,Charles Dickens,2858
The Essays of Arthur Schopenhauer; Counsels and Maxims,Arthur Schopenhauer,2858
臺灣外紀 (Chinese),active 1692 Risheng Jiang,2857
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,2852
Index of the Project Gutenberg Works of O. Henry,O. Henry,2848
"The Bible, Douay-Rheims, Complete",Unknown,2844
Acres of Diamonds: Our Every-day Opportunities,Russell H. Conwell,2840
Man and Superman: A Comedy and a Philosophy,Bernard Shaw,2839
Sonnets from the Portuguese,Elizabeth Barrett Browning,2839
Anne of Green Gables,L. M. Montgomery,2839
Dick o' the Fens: A Tale of the Great East Swamp,George Manville Fenn,2838
The Blue Fairy Book,Andrew Lang,2837
The Mayor of Casterbridge,Thomas Hardy,2835
The Tenant of Wildfell Hall,Anne Brontë,2834
The literature of the Celts,Magnus Maclean,2829
Die Traumdeutung (German),Sigmund Freud,2822
The Swiss Family Robinson,Johann David Wyss,2817
The Witch-cult in Western Europe: A Study in Anthropology,Margaret Alice Murray,2809
Lady Audley's Secret,M. E. Braddon,2808
The Valley of Fear,Arthur Conan Doyle,2806
Argonauts of the Western Pacific,Bronislaw Malinowski,2803
"The history of magic :  including a clear and precise exposition of its procedure, its rites and its mysteries",Éliphas Lévi,2803
Four Arthurian Romances,active 12th century de Troyes Chrétien,2803
A History of Norwegian Immigration to the United States,George T. Flom,2802
The 2003 CIA World Factbook,United States. Central Intelligence Agency,2801
Walks in Rome,Augustus J. C. Hare,2799
Cane,Jean Toomer,2799
The Works of Edgar Allan Poe — Volume 5,Edgar Allan Poe,2798
Madame Bovary (French),Gustave Flaubert,2791
"Encyclopaedia Britannica, 11th Edition, ""Gichtel, Johann"" to ""Glory""",Various,2790
Howards End,E. M. Forster,2789
Index of the Project Gutenberg Works of Nathaniel Hawthorne,Nathaniel Hawthorne,2789
One Thousand Ways to Make Money,Page Fox,2786
Reminiscences of a Stock Operator,Edwin Lefevre,2785
"Report on the Radiolaria Collected by H.M.S. Challenger During the Years 1873-1876, First Part: Porulosa (Spumellaria and Acantharia)",Ernst Haeckel,2785
The Younger Set,Robert W. Chambers,2783
Alice in Wonderland,Lewis Carroll and Alice Gerstenberg,2781
"The decline of the West :  Volume 1, Form and actuality",Oswald Spengler,2780
"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.",Friedrich Wilhelm Nietzsche,2778
Protagoras,Plato,2778
An Ideal Husband,Oscar Wilde,2777
Roget's Thesaurus,Peter Mark Roget,2775
歡喜冤家 (Chinese),Xihuyuyinzhuren,2770
Kwaidan: Stories and Studies of Strange Things,Lafcadio Hearn,2768
The Best American Humorous Short Stories,Unknown,2767
The Fairy-Faith in Celtic Countries,W. Y. Evans-Wentz,2764
"The Writings of Thomas Paine, Complete",Thomas Paine,2764
Lilith: A Romance,George MacDonald,2764
"Notes and Queries, Vol. IV, Number 97, September 6, 1851",Various,2763
Letters of Abelard and Heloise,Peter Abelard and Héloïse,2760
"Tartuffe; Or, The Hypocrite",Molière,2759
Familiar Quotations,Unknown,2758
"The Book Review Digest, v. 16, 1920 :  Sixteenth annual accumulation. Reviews of 1920 books",Various,2755
The 2010 CIA World Factbook,United States. Central Intelligence Agency,2755
"Dio's Rome, Volume 5",Cassius Dio Cocceianus,2753
The Chronology of Ancient Kingdoms Amended,Isaac Newton,2752
Twelfth Night,William Shakespeare,2747
Ruggles of Red Gap,Harry Leon Wilson,2743
朝花夕拾 (Chinese),Xun Lu,2742
Tamburlaine the Great — Part 1,Christopher Marlowe,2735
"Plunkitt of Tammany Hall: a series of very plain talks on very practical politics, delivered by ex-Senator George Washington Plunkitt, the Tammany philosopher, from his rostrum—the New York County court house bootblack stand; Recorded by William L. Riordon",George Washington Plunkitt,2727
Charmes (French),Paul Valéry,2724
The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,Friedrich Wilhelm Nietzsche,2722
"Uncle Remus, his songs and his sayings",Joel Chandler Harris,2719
Os Lusíadas (Portuguese),Luís de Camões,2718
Pride and Prejudice,Jane Austen,2715
"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,2713
"London Labour and the London Poor, Vol. 1",Henry Mayhew,2712
Pollyanna,Eleanor H. Porter,2709
"The Works of the Right Honourable Edmund Burke, Vol. 03 (of 12)",Edmund Burke,2705
West African Folk-Tales,Unknown,2702
A Child's Garden of Verses,Robert Louis Stevenson,2699
The Conjure Woman,Charles W. Chesnutt,2696
Tremendous Trifles,G. K. Chesterton,2696
Geflügelte Worte: Der Citatenschatz des deutschen Volkes (German),Georg Büchmann and Walter Robert-tornow,2695
Nooks and Corners of the New England Coast,Samuel Adams Drake,2693
Anne of Green Gables,L. M. Montgomery,2693
The History of John Bull,John Arbuthnot,2691
"Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face (French)",Saint de Lisieux Thérèse,2687
Encyclopedia of Needlework,Thérèse de Dillmont,2686
The Orbis Pictus,Johann Amos Comenius,2686
"Ars Amatoria; or, The Art Of Love",Ovid,2685
Dead Souls,Nikolai Vasilevich Gogol,2684
The Canterbury Tales,Geoffrey Chaucer,2683
The Tales of Mother Goose,Charles Perrault,2681
Villette,Charlotte Brontë,2680
Anne's House of Dreams,L. M. Montgomery,2677
The Love Letters of Mary Wollstonecraft to Gilbert Imlay,Mary Wollstonecraft,2671
"The Mediterranean :  Seaports and sea routes including Madeira, the Canary Islands, the coast of Morocco, Algeria, and Tunisia; handbook for travellers",Karl Baedeker,2664
The Book of Household Management,Mrs. Beeton,2662
Laura Middleton; Her Brother and her Lover,Anonymous,2660
The Ancient Irish Epic Tale Táin Bó Cúalnge,Unknown,2656
A Tramp Abroad,Mark Twain,2655
Index of the Project Gutenberg Works of Friedrich Nietzsche,Friedrich Wilhelm Nietzsche,2654
The Romance of Tristan and Iseult,Joseph Bédier,2653
The Beast in the Jungle,Henry James,2653
Syndrome,Thomas Hoover,2649
西湖二集 (Chinese),active 16th century-17th century Qingyuan Zhou,2649
The Works of Edgar Allan Poe — Volume 4,Edgar Allan Poe,2646
Poems Every Child Should Know,Unknown,2642
文明小史 (Chinese),Boyuan Li,2638
A Defence of Poesie and Poems,Philip Sidney,2633
"""And they thought we wouldn't fight""",Floyd Phillips Gibbons,2632
A Christmas Carol,Charles Dickens,2632
The Hindu-Arabic Numerals,David Eugene Smith and Louis Charles Karpinski,2632
"The Queen of Spades, and other stories",Aleksandr Sergeevich Pushkin,2625
Bahnwärter Thiel (German),Gerhart Hauptmann,2625
The Bābur-nāma in English (Memoirs of Bābur),Emperor of Hindustan Babur,2621
The Art of War,baron de Antoine Henri Jomini,2621
New Atlantis,Francis Bacon,2618
A Brief Account of the Destruction of the Indies,Bartolomé de las Casas,2615
A Defence of Poetry and Other Essays,Percy Bysshe Shelley,2615
Scouting for Boys,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,2614
A Japanese Boy,Shigemi Shiukichi,2611
The Marching Morons,C. M. Kornbluth,2609
English Fairy Tales,Unknown,2609
Second Variety,Philip K. Dick,2608
"The City of God, Volume II",Bishop of Hippo Saint Augustine,2607
The Secret Adversary,Agatha Christie,2607
What Is Man? and Other Essays,Mark Twain,2607
"The Joyful Wisdom (""La Gaya Scienza"")",Friedrich Wilhelm Nietzsche,2603
The World as Will and Idea (Vol. 3 of 3),Arthur Schopenhauer,2602
Charlotte Temple,Mrs. Rowson,2599
Kim,Rudyard Kipling,2595
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",Oliver Goldsmith,2595
The Way of the World,William Congreve,2594
The Slayer of Souls,Robert W. Chambers,2592
The Gods of Mars,Edgar Rice Burroughs,2591
"The passing of the great race; or, The racial basis of European history",Madison Grant,2590
Aesop's Fables - Volume 01,Aesop,2589
Mrs. Warren's Profession,Bernard Shaw,2589
The Iliad of Homer,Homer,2586
Mark Twain's Speeches,Mark Twain,2582
Household Tales by Brothers Grimm,Jacob Grimm and Wilhelm Grimm,2582
Jamaica Anansi stories,Martha Warren Beckwith,2580
A Narrative of the Life of Mrs. Mary Jemison,James E. Seaver,2580
The Man in the Brown Suit,Agatha Christie,2579
Life Is a Dream,Pedro Calderón de la Barca,2578
The Agamemnon of Aeschylus,Aeschylus,2577
Weeds used in medicine,Alice Henkel,2576
Nora's twin sister,Nina Rhoades,2574
The Problem of China,Bertrand Russell,2573
The Scarlet Letter,Nathaniel Hawthorne,2572
Beautiful Stories from Shakespeare,William Shakespeare and E. Nesbit,2569
Facts and Speculations on the Origin and History of Playing Cards,William Andrew Chatto,2569
Seneca myths and folk tales,Arthur C. Parker,2567
西湖佳話 (Chinese),pseud. Langzi Mo,2566
A collection of short-stories,Unknown,2565
A History of Caricature and Grotesque in Literature and Art,Thomas Wright,2562
Strange Stories from a Chinese Studio (Volumes 1 and 2),Songling Pu,2561
Manifesto of the Communist Party,Karl Marx and Friedrich Engels,2559
"Pamela, or Virtue Rewarded",Samuel Richardson,2559
Tender Buttons,Gertrude Stein,2556
The Letters of Jane Austen,Jane Austen,2553
Lord Jim,Joseph Conrad,2553
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,2549
The Red and the Black: A Chronicle of 1830,Stendhal,2545
The Middle Temple Murder,J. S. Fletcher,2544
At the Back of the North Wind,George MacDonald,2539
Aphorismen zur Lebensweisheit (German),Arthur Schopenhauer,2538
"Pen-portraits of literary women :  by themselves and others, Volume 2 (of 2)",Unknown,2538
Index of the Project Gutenberg Works of Charles Dickens,Charles Dickens,2536
封神演義 (Chinese),Xixing Lu,2536
A Treatise on Painting,da Vinci Leonardo,2532
Julius Caesar,William Shakespeare,2531
Grimm's Fairy Stories,Jacob Grimm and Wilhelm Grimm,2529
Folk Tales from the Russian,Kalamatiano De Blumenthal and Verra Xenophontovna,2529
The Love Letters of Henry VIII to Anne Boleyn; With Notes,King of England Henry VIII,2528
The Fables of Aesop,Aesop,2528
Laughter: An Essay on the Meaning of the Comic,Henri Bergson,2525
Voyage au Centre de la Terre (French),Jules Verne,2525
Cicero's Tusculan Disputations,Marcus Tullius Cicero,2521
Tacitus on Germany,Cornelius Tacitus,2521
"The Life of Marie de Medicis, Queen of France, Consort of Henri IV, and Regent of the Kingdom under Louis XIII — Volume 1",Miss Pardoe,2520
The Sea-Wolf,Jack London,2519
"Historia de la lengua y literatura castellana, Tomo 2 :  Época de Carlos V (Spanish)",Julio Cejador y Frauca,2519
Max und Moritz: Eine Bubengeschichte in sieben Streichen (German),Wilhelm Busch,2518
